DebugName, OpType, SelectedBackend, backend_0, backend_1, backend_2, backend_3, est_time_0, est_time_1, est_time_2, est_time_3, invalid_0, invalid_1, invalid_2, invalid_3, 
ios16.relu:48:12, ios16.relu, "ane", ane, bnns, classic_cpu, mps_graph, 0.00301056, 0.00301056, 0.00301056, 0.00301056, , , , 
ios17.conv:49:12, ios17.conv, "ane", ane, bnns, classic_cpu, mps_graph, 0.003274032214503815, 0.04557880324327124, 0.05242558117865291, 0.01253630062713254, , , , 
ios16.relu:50:12, ios16.relu, "ane", ane, bnns, classic_cpu, mps_graph, 0.00301056, 0.00301056, 0.00301056, 0.00301056, , , , 
ios17.conv:51:12, ios17.conv, "ane", ane, bnns, classic_cpu, mps_graph, 0.002419292739250702, 0.04853829325424214, 0.0558296432892689, 0.01961007984593072, , , , 
ios17.add:52:12, ios17.add, "ane", ane, bnns, classic_cpu, mps_graph, 0.0022842232828157, 0.005170923410143014, 0.005947691834594831, 0.003686660490344381, , , , 
ios17.conv:53:12, ios17.conv, "ane", ane, bnns, classic_cpu, mps_graph, 0.002428730812355711, 0.04872764940477885, 0.05604744423838178, 0.01968658210800848, , , , 
ios16.relu:54:12, ios16.relu, "ane", ane, bnns, classic_cpu, mps_graph, 0.00301056, 0.00301056, 0.00301056, 0.00301056, , , , 
ios17.conv:55:12, ios17.conv, "ane", ane, bnns, classic_cpu, mps_graph, 0.003274032214503815, 0.04557880324327124, 0.05242558117865291, 0.01253630062713254, , , , 
ios16.relu:56:12, ios16.relu, "ane", ane, bnns, classic_cpu, mps_graph, 0.00301056, 0.00301056, 0.00301056, 0.00301056, , , , 
ios17.conv:57:12, ios17.conv, "ane", ane, bnns, classic_cpu, mps_graph, 0.002419292739250702, 0.04853829325424214, 0.0558296432892689, 0.01961007984593072, , , , 
ios17.add:58:12, ios17.add, "ane", ane, bnns, classic_cpu, mps_graph, 0.0022842232828157, 0.005170923410143014, 0.005947691834594831, 0.003686660490344381, , , , 
ios17.conv:59:12, ios17.conv, "ane", ane, bnns, classic_cpu, mps_graph, 0.002428730812355711, 0.04872764940477885, 0.05604744423838178, 0.01968658210800848, , , , 
ios16.relu:60:12, ios16.relu, "ane", ane, bnns, classic_cpu, mps_graph, 0.00301056, 0.00301056, 0.00301056, 0.00301056, , , , 
ios17.conv:61:12, ios17.conv, "ane", ane, bnns, classic_cpu, mps_graph, 0.003274032214503815, 0.04557880324327124, 0.05242558117865291, 0.01253630062713254, , , , 
ios16.relu:62:12, ios16.relu, "ane", ane, bnns, classic_cpu, mps_graph, 0.00301056, 0.00301056, 0.00301056, 0.00301056, , , , 
ios17.conv:63:12, ios17.conv, "ane", ane, bnns, classic_cpu, mps_graph, 0.002419292739250702, 0.04853829325424214, 0.0558296432892689, 0.01961007984593072, , , , 
ios17.add:64:12, ios17.add, "ane", ane, bnns, classic_cpu, mps_graph, 0.0022842232828157, 0.005170923410143014, 0.005947691834594831, 0.003686660490344381, , , , 
ios17.conv:65:12, ios17.conv, "ane", ane, bnns, classic_cpu, mps_graph, 0.004857461624711422, 0.09745529880955769, 0.1120948884767636, 0.03937316421601696, , , , 
ios16.relu:66:12, ios16.relu, "ane", ane, bnns, classic_cpu, mps_graph, 0.00602112, 0.00602112, 0.00602112, 0.00602112, , , , 
ios17.conv:67:12, ios17.conv, "ane", ane, bnns, classic_cpu, mps_graph, 0.006548064429007629, 0.09115760648654249, 0.1048511623573058, 0.02507260125426507, , , , 
